source_relative_path	image_relative_path	sha256	design_note
nouns_classified_1973/B01-HUM__Humanoid/noun-0944__head-gnome.png	B01-HUM__Humanoid/aachat-forge-humanoid-crimson-fringe-pathfinder.png	40df42cf4066dc8ae801de92b4735f59643fe48414db7a228b4ff9a64394c424	Crimson stepped cap, golden geometric fringe, pale-gray trail coat, yellow neckerchief, charcoal boots, and a modular walking staff.
nouns_classified_1973/B01-HUM__Humanoid/noun-0985__head-gnome.png	B01-HUM__Humanoid/aachat-forge-humanoid-sunbeam-cap-mender.png	c3b7e644b41c5e81bb2a84b8d5dcae5f6ca8952cbdcee63600b3e469a03b3fff	Scarlet stepped cap, green LCD housing, long sun-yellow apron-tunic, pale vertical seam, and restrained ochre repair patches in coarse square modules.
nouns_classified_1973/B01-HUM__Humanoid/noun-1000__head-gnome.png	B01-HUM__Humanoid/aachat-forge-humanoid-rainbow-cap-rover.png	bac556741bbd9b7cc1804330e302042f324249dea86808624eed4750a79401c1	Tall stepped scarlet gnome cap, pale-gold side locks, and a compact striped travel uniform in cobalt, violet, lime, and red, rebuilt around the fixed LCD.
nouns_classified_1973/B01-HUM__Humanoid/noun-1026__head-hair.png	B01-HUM__Humanoid/aachat-forge-humanoid-golden-bob-patternmaker.png	c668e792700c42852d74c7b3ee46cadc7da72894ff60a60eb686296f1a312f4b	Angular golden bob frame, white-and-gray modular diamond tunic, tiny green fasteners, dark boots, and a geometric stencil board.
nouns_classified_1973/B01-HUM__Humanoid/noun-1031__head-tooth.png	B01-HUM__Humanoid/aachat-forge-humanoid-ivory-molar-steward.png	5dff66b2967b83c2a4bad552f241b58177d3de964b80faf32684db8f1ca83357	Oversized ivory molar-crown LCD housing with short root corners, espresso steward uniform, pale placket, black collar blocks, and restrained vermilion joints.
nouns_classified_1973/B01-HUM__Humanoid/noun-1058__head-thumbsup.png	B01-HUM__Humanoid/aachat-forge-humanoid-amber-gesture-delegate.png	6f37ab447d9441e0ab3f1492f221fd3d709757e41adb88bb36a84e34c1efbe26	Minimal amber thumbs-up head shell with an asymmetric raised crest and compact royal-blue diplomatic uniform, rebuilt as coarse square modules around the fixed LCD.
nouns_classified_1973/B01-HUM__Humanoid/noun-1123__head-gnome.png	B01-HUM__Humanoid/aachat-forge-humanoid-sunset-stripe-keeper.png	f16d26b6fca302eed80ef8517014f4e37b6d21280e4bbf70b47a69fdfc67f7ec	Scarlet stepped cap, golden-orange LCD housing with cobalt side fittings, green collar, and a yellow-to-brick-red striped modular tunic.
nouns_classified_1973/B01-HUM__Humanoid/noun-1134__head-gnome.png	B01-HUM__Humanoid/aachat-forge-humanoid-verdant-sash-wayfinder.png	a5184e1a4d9cacdb379a1b73f14dd780bf620a4b58d1baaca44739a8acb4a45f	Scarlet stepped cap, lime integrated LCD housing, teal travel tunic, pale vertical seam, and a short diagonal run of golden sash modules.
nouns_classified_1973/B01-HUM__Humanoid/noun-1137__head-thumbsup.png	B01-HUM__Humanoid/aachat-forge-humanoid-ochre-signal-nightwatch.png	fe1504186952dc6683297233a070619c15e2aabb27b0d91fbd9d29d8c3daa95f	Bent ochre thumbs-up head shell paired with a severe black-and-graphite nightwatch uniform and two broad gray bands, rebuilt around the fixed LCD.
nouns_classified_1973/B01-HUM__Humanoid/noun-1148__head-gnome.png	B01-HUM__Humanoid/aachat-forge-humanoid-violet-seam-surveyor.png	63d59f721b06988216c245cd6fd6a060fd29f04e6d4316a84c8bd7ca31a7b157	Scarlet stepped cap, amber side fringe, olive survey coat with a strong violet modular center seam, charcoal boots, and a marked survey rod.
nouns_classified_1973/B01-HUM__Humanoid/noun-1158__head-gnome.png	B01-HUM__Humanoid/aachat-forge-humanoid-sunset-stripe-porter.png	65c5fcd4e6a86404d7e2af2bb2449ae33798f37ae788c260eb92a36935066572	Scarlet stepped cap, green integrated LCD housing, gold-to-orange-to-brick horizontal coat bands, pale vertical seam, and cream modular gloves.
nouns_classified_1973/B01-HUM__Humanoid/noun-1215__head-gnome.png	B01-HUM__Humanoid/aachat-forge-humanoid-prism-cap-wayfarer.png	5dcbef697d9ce25ba2810da6b03af49d1d05d17f9d8f4bba7793e81a68a0ee6d	Stepped scarlet prism cap, white modular brim, rainbow-banded tunic, dark navy limbs, and complete source-face replacement around the fixed aachat LCD.
nouns_classified_1973/B01-HUM__Humanoid/noun-1286__head-tooth.png	B01-HUM__Humanoid/aachat-forge-humanoid-enamel-crown-caretaker.png	d51eddea4831dd84411e54faf8a85452a35e641ec8daccfb98cb139455d92f25	Broad ivory molar crown, warm orange caretaker tunic, pale center detail, and brown modular shoes rebuilt as coarse square 3D modules around the fixed LCD.
nouns_classified_1973/B01-HUM__Humanoid/noun-1318__head-thumbsup.png	B01-HUM__Humanoid/aachat-forge-humanoid-saffron-thumb-herald.png	f9ce75344b8f6f4723f396a172eed998af46e78b90eea1e6eca6ffbeb1c4ed77	Saffron-gold thumbs-up crest, warm sand modular work tunic, and a plain vermilion chest tile rebuilt around the fixed aachat LCD.
nouns_classified_1973/B01-HUM__Humanoid/noun-1363__head-tooth.png	B01-HUM__Humanoid/aachat-forge-humanoid-sunlit-cusp-curator.png	9df351824be14fc32e9c6166f1a6b79eedb860ea4398f944df20f9bb2670c486	Broad stepped ivory tooth-crown LCD shell, pale honey-gold structural accents, and a narrow modular work-smock body rebuilt as consistent coarse square 3D modules.
nouns_classified_1973/B01-HUM__Humanoid/noun-1377__head-thumbsup.png	B01-HUM__Humanoid/aachat-forge-humanoid-sunlit-thumb-beacon.png	2776a77fa2302a88d40fb47e533dc2b66d1825615e02e02bd726eff4e6835c73	Amber-yellow thumbs-up cranial crest, lime-green modular torso, slim golden limbs, orange block shoes, and complete source-face replacement around the fixed aachat LCD.
nouns_classified_1973/B01-HUM__Humanoid/noun-1378__head-thumbsup.png	B01-HUM__Humanoid/aachat-forge-humanoid-citrine-thumb-courier.png	585db5fa89af09900bda7940118786759f3bcc4363a4bfcd26064e3e83a20fba	Citrine-gold thumbs-up LCD head shell, amber striped courier body, red vertical rails, cream bands, and coarse square modular construction.
nouns_classified_1973/B01-HUM__Humanoid/noun-1405__head-gnome.png	B01-HUM__Humanoid/aachat-forge-humanoid-crimson-peak-alchemist.png	41f05b8ff2eb447b1963acd3bceefb932b7c1f02889e949e2268382a84cfda8f	Tall crimson gnome cap, pale-gold side locks, lime structural trim, and a compact russet workshop tunic with sparse square clasps, rebuilt around the fixed LCD.
nouns_classified_1973/B01-HUM__Humanoid/noun-1464__head-lips.png	B01-HUM__Humanoid/aachat-forge-humanoid-scarlet-orbit-attendant.png	86e79a8bcd604122cd1569cb0eb8bb78f42c8ad13a8fa94b3136077c49416f82	Scarlet stepped LCD cowl, cobalt modular work tunic, slender blue limbs, and a tiny yellow square badge with the complete source face and lip form removed.
nouns_classified_1973/B01-HUM__Humanoid/noun-1512__head-thumbsup.png	B01-HUM__Humanoid/aachat-forge-humanoid-amber-thumb-medallion-bearer.png	26c45cfb09ad36c2a68d8bf5ed660e91d59c3413aae31cba2808a53e17c7dae9	Amber thumbs-up crest integrated into the LCD head shell, coral tunic, pale seam, olive square medallion, ochre center, and two short blue tassels.
nouns_classified_1973/B01-HUM__Humanoid/noun-1541__head-hair.png	B01-HUM__Humanoid/aachat-forge-humanoid-saffron-bob-channeler.png	8bcf63e698440b0c7e4841bd9e9d9b6b77b9859d35b56131b4220ef1031923e3	Saffron-gold stepped bob LCD shell, pale gray modular channeler tunic, white cuffs, turquoise chest mark, slim gray limbs, and complete source-face replacement around the fixed aachat LCD.
nouns_classified_1973/B01-HUM__Humanoid/noun-1669__head-tooth.png	B01-HUM__Humanoid/aachat-forge-humanoid-ivory-root-mender.png	babc0b14a36b2a4060b3ba1cf0667c50f494f0caee3da045d2722ee1b00fa090	Notched ivory crown shell around the LCD, warm tan-orange root-like body and legs, small green hardware accents, and a ceramic repair spatula.
nouns_classified_1973/B01-HUM__Humanoid/noun-1693__head-thumbsup.png	B01-HUM__Humanoid/aachat-forge-humanoid-golden-thumb-ribbon-usher.png	645e582700fe133fdda9d5928710fdcf612dfa8282c261fbc90782832453683e	Golden thumbs-up crest integrated into the LCD head shell, vivid yellow formal coat, bold charcoal bow collar and central ribbon, cream seams, and black modular boots.
nouns_classified_1973/B01-HUM__Humanoid/noun-1706__head-hair.png	B01-HUM__Humanoid/aachat-forge-humanoid-saffron-bob-loomkeeper.png	bbebafb235bcae464b8e01a95e9f507cd65040cefed9ffe3943399bddc28d047	Stepped saffron-gold bob silhouette, long forest-green and ochre woven tunic, and complete source-face replacement rebuilt as coarse square 3D modules around the fixed aachat LCD.
nouns_classified_1973/B01-HUM__Humanoid/noun-1720__head-tooth.png	B01-HUM__Humanoid/aachat-forge-humanoid-ivory-checker-harlequin.png	43a46508fec50a69ceb94329afea6d197fe036371825aadf72abeb79751180cf	Notched ivory crown LCD shell, external cobalt fittings, bold black-cyan-magenta modular checker costume, white collar, and stage baton.
nouns_classified_1973/B01-HUM__Humanoid/noun-1782__head-gnome.png	B01-HUM__Humanoid/aachat-forge-humanoid-prism-knot-scribe.png	8cdd3a191840a4830b89d806393519e3e7a2ea09e1cda0a60a4fca9873c8c553	Scarlet stepped cap, royal-blue LCD housing with lime lower band, pale aqua coat, cream seam, and four restrained abstract square-knot clusters in cobalt, violet, coral, and green.
nouns_classified_1973/B01-HUM__Humanoid/noun-1799__head-lips.png	B01-HUM__Humanoid/aachat-forge-humanoid-vermilion-cowl-custodian.png	6db76409359425080cd54916ede06e65396643576718e8ac0aca78fd47a37d3d	Stepped vermilion LCD cowl, espresso modular work tunic, plain olive chest tile, charcoal limbs, cobalt shoe bands, and complete replacement of the source lip face.
nouns_classified_1973/B01-HUM__Humanoid/noun-1928__head-hair.png	B01-HUM__Humanoid/aachat-forge-humanoid-amber-locks-puzzler.png	de3c9a095b6152816204e12e5ca6c5ddc72ebb07f81d4b58c60f8759f2883d46	Angular amber-gold LCD frame, cream inner trim, charcoal work tunic, sparse multicolor abstract module clusters, and a handheld tile sample.
nouns_classified_1973/B01-HUM__Humanoid/noun-1932__head-tooth.png	B01-HUM__Humanoid/aachat-forge-humanoid-ivory-banded-custodian.png	0e0b7f8ca6f757ea29f27a29c620a087d4ae1c4d6a4c99c742325550a0622240	Rounded ivory tooth-crown LCD shell, small warm-gold crown accent, olive-and-cream horizontal-banded work tunic, slender dark limbs, and complete source-face replacement rebuilt as consistent coarse square 3D modules.
nouns_classified_1973/B02-FAU__Fauna/noun-0001__head-fox.png	B02-FAU__Fauna/aachat-forge-fauna-ember-tail-sentinel.png	4f8d59c812b234e9fb5472a5de1fcb07cbac8c9a05025397d0501550c70ee566	Legacy Level 4 pilot completed before the 1,969-image batch.
nouns_classified_1973/B02-FAU__Fauna/noun-0009__head-bat.png	B02-FAU__Fauna/aachat-forge-fauna-umber-wing-nightwatch.png	026d23ccc16c081e465a01d7ef866c9a1735c54d2db8dc4a70e6207a618786b6	Broad cocoa bat-wing cowl, twin pointed ear peaks, ivory modular body, restrained cobalt accents, and complete source-face replacement around the fixed aachat LCD.
nouns_classified_1973/B02-FAU__Fauna/noun-0024__head-squid.png	B02-FAU__Fauna/aachat-forge-fauna-rose-squid-wayfinder.png	aa4563ced7a037bffad2ce33ee4df98db3d60607e8ea860c782e1e402f85f7de	Rose-pink triangular squid mantle, violet tentacle streamers, black turquoise-marked tunic, small yellow accents, abundant full-body margins, and complete source-face replacement rebuilt as consistent coarse square 3D modules around the fixed aachat LCD.
nouns_classified_1973/B02-FAU__Fauna/noun-0027__head-jellyfish.png	B02-FAU__Fauna/aachat-forge-fauna-rose-bell-navigator.png	78694d21541d66a3bd449bbf10897c5cca7a6783a32c1eebfd69c257ebdfb442	Rose-violet jellyfish bell LCD shell, side tentacle streamers, sea-green navigator suit, yellow-green nautical accents, and complete source-face replacement in consistent coarse square 3D modules.
nouns_classified_1973/B02-FAU__Fauna/noun-0033__head-frog.png	B02-FAU__Fauna/aachat-forge-fauna-lime-pond-hopper.png	67798c14a9216d60837bd02168309fa4d251865c4a40784f1b07c7f6b0f78157	Broad stepped spring-green frog crown, pale belly-arm loop motif, compact full-body modular silhouette, and complete source-face replacement around the fixed aachat LCD.
nouns_classified_1973/B02-FAU__Fauna/noun-0036__head-orca.png	B02-FAU__Fauna/aachat-forge-fauna-midnight-fin-navigator.png	2de4db0aaa686e8f63018c9c3092e13ee4155729a61f12437c07881aec90909f	Midnight-black orca LCD shell with dorsal fin, ivory patches, sky-blue navigation vest, yellow linked clasp, squared tail flukes, and a navigation baton.
nouns_classified_1973/B02-FAU__Fauna/noun-0038__head-unicorn.png	B02-FAU__Fauna/aachat-forge-fauna-mint-horn-cloud-runner.png	85f813da3fb7e4cd17ecd23686b451b99dbfb9aa7aab1c5cdda4226cd22c1bbf	Compact cobalt quadruped with coral-pink integrated LCD head, one stepped golden horn, mint-lime mane and tail, pale blue stripe, white cloud patch, and four modular hooves.
nouns_classified_1973/B02-FAU__Fauna/noun-0042__head-dog.png	B02-FAU__Fauna/aachat-forge-fauna-patchwork-coat-hound.png	56c2f1e2636d3ba56dab68731151326347ade03dbf7d6188a019f906d33a1f63	Compact chocolate quadruped with oversized floppy ears, integrated LCD head and coral lower rail, bold large-grid multicolor patchwork coat, cream paws, and short raised tail.
nouns_classified_1973/B02-FAU__Fauna/noun-0047__head-shark.png	B02-FAU__Fauna/aachat-forge-fauna-spectrum-fin-courier.png	7e059972485cf403f093975be24302a6f24abbc25a69de7cbf16799dc2c7e146	Cobalt shark LCD shell with one dorsal fin and one waist tail, pale-blue underside, six spectrum module bands, charcoal strap, and blue parcel case.
nouns_classified_1973/B02-FAU__Fauna/noun-0056__head-zebra.png	B02-FAU__Fauna/aachat-forge-fauna-cobalt-stripe-outrider.png	eb92be7e123a36e1f2795d7d739728fc0de73685cc65b8182a53fcd85d21bfd9	White-and-black striped zebra head shell, vivid magenta bridle frame, cobalt modular body with diagonal black flank markings, striped arms and tail, and complete source-face replacement around the fixed aachat LCD.
nouns_classified_1973/B02-FAU__Fauna/noun-0063__head-scorpion.png	B02-FAU__Fauna/aachat-forge-fauna-golden-sting-gridkeeper.png	1ec3e948a636aabea925fcd6044d38161e4cac3435f4d3698664d2bc810e9af0	Golden stepped scorpion-tail crown, warm amber LCD shell, purple-and-near-black checkerboard work tunic, compact modular stance, generous full-body margins, and complete source-face replacement around the fixed aachat LCD.
nouns_classified_1973/B02-FAU__Fauna/noun-0079__head-scorpion.png	B02-FAU__Fauna/aachat-forge-fauna-sunlit-stinger-surveyor.png	c0d63e045553f48b8cb318cbe9b65218bb2165928b26e029fd052dae578d0cc2	Sun-yellow segmented scorpion tail arch, compact near-black modular body, restrained violet-blue joints, pincer-like hands, abundant full-body margins, and complete source-face replacement around the fixed aachat LCD.
nouns_classified_1973/B02-FAU__Fauna/noun-0085__head-unicorn.png	B02-FAU__Fauna/aachat-forge-fauna-rainbow-horn-sunwarden.png	794770b2b70fa01e92adc77c68f52f9dc32bae563e6e099065701ad3e9638e1a	Rainbow modular mane, stepped golden horn, pale-pink LCD head shell, orange ceremonial sun-tile tunic, cobalt accents, generous full-body margins, and complete source-face replacement in consistent coarse square 3D modules.
nouns_classified_1973/B02-FAU__Fauna/noun-0086__head-pufferfish.png	B02-FAU__Fauna/aachat-forge-fauna-tangerine-spike-drifter.png	95da5d7c6af9a54647183d7563faf345243a09967ea94496a6a18bfc618cd43c	Tangerine stepped pufferfish LCD shell, sparse block spikes, small squared side fins, warm golden underside, charcoal modular body and legs, and complete replacement of the source multicolor visor face around the fixed aachat LCD.
nouns_classified_1973/B02-FAU__Fauna/noun-0092__head-whale.png	B02-FAU__Fauna/aachat-forge-fauna-ivory-tide-courier.png	c7a16d1ba6956c485b44b8f4c6f92d414a20e6d6a8fda412aa7cd6cdb9097c71	Broad pale ivory whale-head shell, dark top ridge, vivid cobalt courier tunic, mint tide-marker modules, and complete source-face replacement around the fixed aachat LCD.
nouns_classified_1973/B02-FAU__Fauna/noun-0096__head-oyster.png	B02-FAU__Fauna/aachat-forge-fauna-blush-shell-concierge.png	b44dd04d38eeb89fb753a45a723590e0ad4ba26577eecc6cd13514b666bfd3f4	Broad stepped blush-coral oyster shell, ivory formal concierge coat, black bow-tie and center-panel accents, abundant full-body margins, and complete source-face replacement rebuilt as consistent coarse square 3D modules around the fixed aachat LCD.
nouns_classified_1973/B02-FAU__Fauna/noun-0097__head-dino.png	B02-FAU__Fauna/aachat-forge-fauna-emerald-jaw-trailblazer.png	3e940af18a56422bf5ce793d3566d3e8100e93d01917c1c956ad35195ac8e42f	Broad stepped emerald dinosaur LCD shell, blue-green checkerboard torso, compact modular limbs, restrained block tail, abundant full-body margins, and complete source-face replacement rebuilt as consistent coarse square 3D modules around the fixed aachat LCD.
nouns_classified_1973/B02-FAU__Fauna/noun-0098__head-whale-alive.png	B02-FAU__Fauna/aachat-forge-fauna-azure-spout-chorister.png	8d8de53e58ebd2d866ad82dbb13bf7c11748d43f3ba6b73cfcdc37a7ad2e2078	Rounded cobalt-and-sky-blue whale LCD shell, small solid spout crest, charcoal tunic with sparse cyan-violet-yellow modules, one connected tail, and tuning baton.
nouns_classified_1973/B02-FAU__Fauna/noun-0099__head-cat.png	B02-FAU__Fauna/aachat-forge-fauna-violet-bow-pouncer.png	c731a9b3fe303cbdec11ee8cb047750ce8d688f3fe502243b98ae4927388fbf5	Compact violet quadruped with tall navy ears, ice-blue inner panels and lower LCD rail, charcoal bow patch, pale seam, cream paws, and a long stepped upright tail.
nouns_classified_1973/B02-FAU__Fauna/noun-0100__head-cow.png	B02-FAU__Fauna/aachat-forge-fauna-ivory-horn-medallion-keeper.png	88bae4bef1eb617a7c0d7094bd09b93087184fdd83fbf97fe95ec9f28f681aa3	Broad ivory bovine LCD shell, twin dark horn clusters, saturated violet regalia tunic, pale vertical bands, golden medallion, abundant full-body margins, and complete source-face replacement rebuilt as consistent coarse square 3D modules.
nouns_classified_1973/B02-FAU__Fauna/noun-0102__head-grouper.png	B02-FAU__Fauna/aachat-forge-fauna-umber-reef-wayfinder.png	64440111ecc80e7252d57a73ebb0f56f083abb6c170e4010bacb81b2a456c0ec	Broad dark-umber stepped grouper LCD shell with jagged dorsal and cheek fins, olive/lime reef accents, a magenta-purple modular wayfinder body, generous full-body margins, and complete replacement of the source eyes and icon by the fixed aachat LCD.
nouns_classified_1973/B02-FAU__Fauna/noun-0103__head-jellyfish.png	B02-FAU__Fauna/aachat-forge-fauna-magenta-bell-tidekeeper.png	e24d63caf2d2d73e59288b81293eb7e845129269f13052eb8e3309354bc5e885	Level 4 fauna reinterpretation: magenta-purple block-built jellyfish bell, pink tentacle appendages, cyan-orange banded body, and complete replacement of the source face with the fixed aachat LCD.
nouns_classified_1973/B02-FAU__Fauna/noun-0105__head-moose.png	B02-FAU__Fauna/aachat-forge-fauna-umber-antler-pathkeeper.png	00af76abca8055490ca93b442461b0f09fa084067bd3de1ed23b03e1944f1768	Reference-mode Level 4 moose trail guardian with stepped tan antlers, a structurally integrated black LCD head, an umber lower shell, and an ivory coarse-module body with one violet stripe.
nouns_classified_1973/B02-FAU__Fauna/noun-0106__head-whale.png	B02-FAU__Fauna/aachat-forge-fauna-pearl-spout-steward.png	aa91c152dbc3f41a2eccb3b7cbc6ed597fa8418a412378d2a73b266caea8b61d	Broad pearl-blush whale-head LCD shell with a stepped side spout, black formal steward tailcoat, narrow tan-gold center accent, generous full-body margins, and complete source-face replacement rebuilt as consistent coarse square 3D modules around the fixed aachat LCD.
nouns_classified_1973/B02-FAU__Fauna/noun-0113__head-duck.png	B02-FAU__Fauna/aachat-forge-fauna-cobalt-bill-marsh-scout.png	74575f7cd2e80fc44df2c12ad4115b10d71c5c4960486b6faee382068825e6e8	Broad stepped white duck LCD shell, solid sunflower-yellow bill brim, simple cobalt modular body, plain emerald chest tile, abundant full-body margins, and complete source-face replacement around the fixed aachat LCD.
nouns_classified_1973/B02-FAU__Fauna/noun-0116__head-goat.png	B02-FAU__Fauna/aachat-forge-fauna-sage-horn-cliff-keeper.png	75f13406c5eea96b2949721267fe547510318bcdba9c2cf4d40e308b84df0368	Broad taupe stepped goat-horn crown, sage-green modular cliff-keeper tunic, restrained red collar, generous full-body margins, and complete source-face replacement rebuilt around the fixed aachat LCD.
nouns_classified_1973/B02-FAU__Fauna/noun-0117__head-chameleon.png	B02-FAU__Fauna/aachat-forge-fauna-emerald-frill-lookout.png	6a4abd574e3f0b6a34474e9766e976ce2a8bc31637131363a0a63fe9651cd17f	Broad leaf-green chameleon frill crown, violet modular lookout tunic with sparse magenta insets, cobalt neck band, generous full-body margins, and complete source-face replacement rebuilt as consistent coarse square 3D modules around the fixed aachat LCD.
nouns_classified_1973/B02-FAU__Fauna/noun-0119__head-ape.png	B02-FAU__Fauna/aachat-forge-fauna-plum-brow-grove-scout.png	75447f699eac242c3b0c75c77ca663b4a35924547bae334131f5c62a81025d01	Tall stepped plum ape LCD shell, cobalt side bands, pale structural chin trim, charcoal-and-cobalt patterned scout body, long modular arms, broad primate feet, generous full-body margins, and complete source-face replacement rebuilt in consistent coarse square 3D modules.
nouns_classified_1973/B02-FAU__Fauna/noun-0121__head-scorpion.png	B02-FAU__Fauna/aachat-forge-fauna-saffron-checker-tailguard.png	632a1abd9723d6f03dfaed7e455b9932ed0034114e64473c74b6eb73a56693bb	Curled saffron scorpion crown and segmented sting silhouette, emerald-orange checkerboard torso, compact modular limbs, generous full-body margins, and complete source-face replacement rebuilt as consistent coarse square 3D modules around the fixed aachat LCD.
nouns_classified_1973/B02-FAU__Fauna/noun-0141__head-duck.png	B02-FAU__Fauna/aachat-forge-fauna-mint-plume-wayfarer.png	366e5656a02a723635c40248f1bc0873905b73e52d58da5ee96d4d1a65bc65fd	Rounded white plume shell, vivid mint wayfarer tunic with dark evergreen edging, orange shoulder paddles and webbed feet, abundant full-body margins, and complete source-face replacement around the fixed aachat LCD.
nouns_classified_1973/B02-FAU__Fauna/noun-0146__head-squid.png	B02-FAU__Fauna/aachat-forge-fauna-fuchsia-mantle-starbearer.png	bb46640298c4b1a4f4781977b4202e6d390e458d028aa98f68b42b34ae85366d	Pointed fuchsia squid-mantle LCD shell, purple tentacle fringe, saturated blue modular tunic, yellow star medallion, generous full-body margins, and complete source-face replacement rebuilt as consistent coarse square 3D modules.
nouns_classified_1973/B02-FAU__Fauna/noun-0149__head-chicken.png	B02-FAU__Fauna/aachat-forge-fauna-crimson-comb-sunwatch.png	3b32ebe14612cebd4ce23ef9ebe0f33895f3e158cc0073ed94cb69a08823c8b8	Level 4 fauna reinterpretation: white square-module chicken shell, crimson stepped comb, olive structural body, golden talon feet, and complete replacement of the source face with the fixed aachat LCD.
nouns_classified_1973/B02-FAU__Fauna/noun-0159__head-horse-deepfried.png	B02-FAU__Fauna/aachat-forge-fauna-ochre-mane-courser.png	fb4410336e44fd1ba5d8498dafeabf543acbad236b7f99579fa00aaa616534cc	Level 4 fauna reinterpretation: compact ochre-maned equine courier with squared ears, crimson tunic, dark block hooves, generous full-body margins, and complete source-face replacement around the fixed aachat LCD.
nouns_classified_1973/B02-FAU__Fauna/noun-0167__head-whale.png	B02-FAU__Fauna/aachat-forge-fauna-pearl-checker-tide-rover.png	4b624ec8018260fcc00c3148ca9a37b3e04ffc792e27fe38830c7f3bb6fc8dfd	Level 4 fauna reinterpretation: pearl-taupe whale-head shell, black-magenta-purple-cyan checker-block body, no separate prop, and complete replacement of the source face with the fixed aachat LCD.
